Last Index Change,Symbol,Company,Sector,Industry
2020-06-22,ARE,Aecon Group Inc.,Industrials,Construction
2020-06-22,AEM,Agnico Eagle Mines Limited,Basic Materials,Metals & Mining
2020-06-22,AC,Air Canada,Industrials,Transportation
2020-06-22,AGI,Alamos Gold Inc.,Basic Materials,Metals & Mining
2020-06-22,AQN,Algonquin Power & Utilities Corp.,Utilities,Independent Power Producers
2020-06-22,ATD.B,Alimentation Couche-Tard Inc.,Consumer Defensive,Retail Defensive
2020-06-22,AP.UN,Allied Properties Real Estate Investment Trust,Real Estate,REITs
2020-06-22,ALA,AltaGas Ltd.,Utilities,Regulated Utilities
2020-06-22,AIF,Altus Group Limited,Real Estate,Real Estate
2020-06-22,APHA,Aphria Inc.,Healthcare,Drug Manufacturers
2020-06-22,ARX,ARC Resources Ltd.,Energy,Oil & Gas
2020-06-22,ATZ,Aritzia Inc.,Consumer Cyclical,Retail Cyclical
2020-06-22,AX.UN,Artis Real Estate Investment Trust,Real Estate,REITs
2020-06-22,ACO.X,ATCO Ltd.,Utilities,Regulated Utilities
2020-06-22,ATA,ATS Automation Tooling Systems Inc.,Industrials,Industrial Products
2020-06-22,AUP,Aurinia Pharmaceuticals Inc.,Healthcare,Biotechnology
2020-06-22,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers
2020-06-22,BTO,B2Gold Corp.,Basic Materials,Metals & Mining
2020-06-22,BAD,Badger Daylighting Ltd.,Industrials,Construction
2020-06-22,BLDP,Ballard Power Systems Inc.,Industrials,Industrial Products
2020-06-22,BMO,Bank of Montreal,Financial Services,Banks
2020-06-22,BNS,Bank of Nova Scotia,Financial Services,Banks
2020-06-22,ABX,Barrick Gold Corporation,Basic Materials,Metals & Mining
2020-06-22,BHC,Bausch Health Companies Inc.,Healthcare,Drug Manufacturers
2020-06-22,BCE,BCE Inc.,Communication Services,Telecommunication Services
2020-06-22,BB,BlackBerry Limited,Technology,Software
2020-06-22,BEI.UN,Boardwalk Real Estate Investment Trust,Real Estate,REITs
2020-06-22,BLX,Boralex Inc.,Utilities,Independent Power Producers
2020-06-22,BYD,Boyd Group Services Inc.,Consumer Cyclical,Personal Services
2020-06-22,BAM.A,Brookfield Asset Management Inc.,Financial Services,Asset Management
2020-06-22,BBU.UN,Brookfield Business Partners L.P.,Industrials,Conglomerates
2020-06-22,BIP.UN,Brookfield Infrastructure Partners L.P.,Utilities,Regulated Utilities
2020-06-22,BPY.UN,Brookfield Property Partners L.P.,Real Estate,Real Estate
2020-06-22,BEP.UN,Brookfield Renewable Partners L.P.,Utilities,Independent Power Producers
2020-06-22,DOO,BRP Inc.,Consumer Cyclical,Vehicles & Parts
2020-06-22,CAE,CAE Inc.,Industrials,Aerospace & Defense
2020-06-22,CCO,Cameco Corporation,Energy,Other Energy Sources
2020-06-22,GOOS,Canada Goose Holdings Inc.,Consumer Cyclical,Apparel & Accessories
2020-06-22,CAR.UN,Canadian Apartment Properties Real Estate Investment Trust,Real Estate,REITs
2020-06-22,CM,Canadian Imperial Bank of Commerce,Financial Services,Banks
2020-06-22,CNR,Canadian National Railway Company,Industrials,Transportation
2020-06-22,CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas
2020-06-22,CP,Canadian Pacific Railway Limited,Industrials,Transportation
2020-06-22,CTC.A,Canadian Tire Corporation Limited,Consumer Cyclical,Retail Cyclical
2020-06-22,CU,Canadian Utilities Limited,Utilities,Regulated Utilities
2020-06-22,CWB,Canadian Western Bank,Financial Services,Banks
2020-06-22,CFP,Canfor Corporation,Basic Materials,Forest Products
2020-06-22,WEED,Canopy Growth Corporation,Healthcare,Drug Manufacturers
2020-06-22,CPX,Capital Power Corporation,Utilities,Independent Power Producers
2020-06-22,CJT,Cargojet Inc.,Industrials,Transportation
2020-06-22,CAS,Cascades Inc.,Basic Materials,Forest Products
2020-06-22,CCL.B,CCL Industries Inc.,Consumer Cyclical,Packaging & Containers
2020-06-22,CLS,Celestica Inc.,Technology,Hardware
2020-06-22,CVE,Cenovus Energy Inc.,Energy,Oil & Gas
2020-06-22,CG,Centerra Gold Inc.,Basic Materials,Metals & Mining
2020-06-22,GIB.A,CGI Inc.,Technology,Software
2020-06-22,CSH.UN,Chartwell Retirement Residences,Real Estate,Real Estate
2020-06-22,CHP.UN,Choice Properties Real Estate Investment Trust,Real Estate,REITs
2020-06-22,CIX,CI Financial Corp.,Financial Services,Asset Management
2020-06-22,CCA,Cogeco Communications Inc.,Communication Services,Telecommunication Services
2020-06-22,CIGI,Colliers International Group Inc.,Real Estate,Real Estate
2020-06-22,CUF.UN,Cominar Real Estate Investment Trust,Real Estate,REITs
2020-06-22,CSU,Constellation Software Inc.,Technology,Software
2020-06-22,CJR.B,Corus Entertainment Inc.,Communication Services,Diversified Media
2020-06-22,CPG,Crescent Point Energy Corp.,Energy,Oil & Gas
