Date,Symbol,Company,Sector,Industry,Last Index Change
2021-01-04,ARE,Aecon Group Inc.,Industrials,Construction,2020-06-22
2021-01-04,AEM,Agnico Eagle Mines Limited,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,AC,Air Canada,Industrials,Transportation,2020-06-22
2021-01-04,AGI,Alamos Gold Inc.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,AQN,Algonquin Power & Utilities Corp.,Utilities,Independent Power Producers,2020-06-22
2021-01-04,ATD.B,Alimentation Couche-Tard Inc.,Consumer Defensive,Retail Defensive,2020-06-22
2021-01-04,AP.UN,Allied Properties Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,ALA,AltaGas Ltd.,Utilities,Regulated Utilities,2020-06-22
2021-01-04,AIF,Altus Group Limited,Real Estate,Real Estate,2020-06-22
2021-01-04,APHA,Aphria Inc.,Healthcare,Drug Manufacturers,2020-06-22
2021-01-04,ARX,ARC Resources Ltd.,Energy,Oil & Gas,2020-06-22
2021-01-04,ATZ,Aritzia Inc.,Consumer Cyclical,Retail Cyclical,2020-06-22
2021-01-04,AX.UN,Artis Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,ACO.X,ATCO Ltd.,Utilities,Regulated Utilities,2020-06-22
2021-01-04,ATA,ATS Automation Tooling Systems Inc.,Industrials,Industrial Products,2020-06-22
2021-01-04,AUP,Aurinia Pharmaceuticals Inc.,Healthcare,Biotechnology,2020-06-22
2021-01-04,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers,2020-06-22
2021-01-04,BTO,B2Gold Corp.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,BAD,Badger Daylighting Ltd.,Industrials,Construction,2020-06-22
2021-01-04,BLDP,Ballard Power Systems Inc.,Industrials,Industrial Products,2020-06-22
2021-01-04,BMO,Bank of Montreal,Financial Services,Banks,2020-06-22
2021-01-04,BNS,Bank of Nova Scotia,Financial Services,Banks,2020-06-22
2021-01-04,ABX,Barrick Gold Corporation,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,BHC,Bausch Health Companies Inc.,Healthcare,Drug Manufacturers,2020-06-22
2021-01-04,BCE,BCE Inc.,Communication Services,Telecommunication Services,2020-06-22
2021-01-04,BB,BlackBerry Limited,Technology,Software,2020-06-22
